2025-10-26 11:29:09 | INFO | scrape_logger | Adding New Movie - No Other Land...
2025-10-26 11:29:09 | INFO | scrape_logger | Adding New Movie - One Battle After Another...
2025-10-26 11:29:09 | INFO | scrape_logger | Adding New Movie - Truth & Treason...
2025-10-26 11:29:09 | INFO | scrape_logger | Adding New Movie - Tron: Ares...
2025-10-26 11:29:09 | INFO | scrape_logger | Saving Movie - 20 Movies...
2025-10-26 11:29:09 | INFO | scrape_logger | Attempting to connect to MongoDB...
2025-10-26 11:29:10 | INFO | scrape_logger | Successfully connected to MongoDB.
2025-10-26 11:29:11 | INFO | scrape_logger | Inserted 20 document into MongoDB.
2025-10-26 11:42:32 | INFO | scrape_logger | Scheduler starting...
2025-10-26 11:42:32 | INFO | scrape_logger | Started Job...
2025-10-26 11:42:32 | INFO | scrape_logger | Scraping Movies...
2025-10-26 11:44:09 | INFO | scrape_logger | Scheduler starting...
2025-10-26 11:44:09 | INFO | scrape_logger | Started Job...
2025-10-26 11:44:09 | INFO | scrape_logger | Scraping Movies...
2025-10-26 11:44:23 | ERROR | scrape_logger | Error navigating to the page: Page.wait_for_selector: Timeout 10000ms exceeded.
Call log:
  - waiting for locator("div.movie-card-container") to be visible

2025-10-26 11:44:37 | INFO | scrape_logger | Scheduler starting...
2025-10-26 11:44:37 | INFO | scrape_logger | Started Job...
2025-10-26 11:44:37 | INFO | scrape_logger | Scraping Movies...
2025-10-26 11:44:51 | ERROR | scrape_logger | Error navigating to the page: Page.wait_for_selector: Timeout 10000ms exceeded.
Call log:
  - waiting for locator("div.movie-card-container") to be visible

2025-10-26 11:45:22 | INFO | scrape_logger | Scheduler starting...
2025-10-26 11:45:22 | INFO | scrape_logger | Started Job...
2025-10-26 11:45:22 | INFO | scrape_logger | Scraping Movies...
2025-10-26 11:45:56 | ERROR | scrape_logger | Error navigating to the page: Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("div.movie-card-container") to be visible

2025-10-26 11:46:30 | INFO | scrape_logger | Scheduler starting...
2025-10-26 11:46:30 | INFO | scrape_logger | Started Job...
2025-10-26 11:46:30 | INFO | scrape_logger | Scraping Movies...
2025-10-26 11:46:41 | INFO | scrape_logger | Scheduler starting...
2025-10-26 11:46:41 | INFO | scrape_logger | Started Job...
2025-10-26 11:46:41 | INFO | scrape_logger | Scraping Movies...
2025-10-26 11:47:14 | ERROR | scrape_logger | Error navigating to the page: Page.wait_for_selector: Timeout 30000ms exceeded.
Call log:
  - waiting for locator("div.movie-card-container") to be visible

2025-10-26 11:47:26 | INFO | scrape_logger | Scheduler starting...
2025-10-26 11:47:26 | INFO | scrape_logger | Started Job...
2025-10-26 11:47:26 | INFO | scrape_logger | Scraping Movies...
2025-10-26 11:47:30 | INFO | scrape_logger | Page loaded successfully
2025-10-26 11:47:46 | INFO | scrape_logger | Scheduler starting...
